customer_id,order_number,delivery_date,delivery_week,final_payment_status,time_to_pay,payment_method,custom_meal_selection,state,channel,engagement_score,num_prior_orders_failed,num_prior_orders_unpaid,avg_recipe_rating
845,11591,20200201,2020-W06,Paid,18,X,Yes,E,F1,186,2,0,
846,24695,20200201,2020-W06,Paid,345,X,Yes,B,F1,1,0,0,
848,19947,20200201,2020-W06,Paid,122,Z,No,E,H,11,11,2,
851,8229,20200202,2020-W06,Paid,19,W,Yes,F,O,23,4,0,3.50
853,2763,20200201,2020-W06,Paid,5,Z,No,D,O,108,31,4,
854,13770,20200203,2020-W06,Paid,2,W,Yes,G,O,109,8,0,3.71
859,8354,20200203,2020-W06,Paid,22,Z,No,B,F3,32,22,1,
864,1628,20200202,2020-W06,Paid,15,W,Yes,F,D,33,10,0,
887,12778,20200203,2020-W06,Paid,5,Z,No,B,S,33,14,1,3.20
898,1769,20200202,2020-W06,Paid,2,W,No,B,F3,1,0,0,
901,9265,20200201,2020-W06,Paid,5,Z,Yes,F,D,93,24,0,
910,8024,20200201,2020-W06,Paid,15,Z,No,D,F1,10,7,1,
911,2243,20200203,2020-W06,Paid,77,V,No,B,D,46,1,1,
912,16561,20200203,2020-W06,Paid,1,W,Yes,F,O,7,0,0,
913,3586,20200203,2020-W06,Paid,293,Z,Yes,E,F2,1,0,0,3.50
919,23837,20200202,2020-W06,Paid,2,Z,No,F,D,134,18,0,
924,24262,20200201,2020-W06,Paid,1,Z,Yes,B,O,1,0,0,
930,16782,20200201,2020-W06,Paid,19,W,Yes,F,O,65,5,2,3.35
931,21378,20200201,2020-W06,Paid,3,Z,No,D,O,6,1,0,
932,5189,20200201,2020-W06,Paid,5,Z,Yes,E,F2,172,49,0,
943,21608,20200201,2020-W06,Paid,1,Z,Yes,E,A2,21,7,0,
948,24485,20200203,2020-W06,Paid,36,Z,No,D,O,69,11,2,
949,23383,20200201,2020-W06,Paid,8,Z,Yes,F,O,9,1,0,
955,21875,20200201,2020-W06,Paid,0,Z,Yes,D,F2,6,4,0,3.67
956,2908,20200203,2020-W06,Paid,1,Z,Yes,F,F2,22,3,1,
957,18525,20200201,2020-W06,Paid,1,X,Yes,A,O,7,0,0,
968,7415,20200203,2020-W06,Paid,5,Z,No,B,F1,7,4,0,
977,1623,20200201,2020-W06,Paid,1,Z,Yes,F,S,31,0,0,
983,23326,20200203,2020-W06,Paid,23,W,Yes,F,D,63,11,0,
996,21713,20200201,2020-W06,Paid,2,Z,No,E,F1,11,1,0,
997,5052,20200203,2020-W06,Paid,7,W,Yes,F,O,2,0,0,
1001,23429,20200201,2020-W06,Paid,5,Z,Yes,F,O,32,3,0,
1013,15223,20200201,2020-W06,Paid,1,Z,No,E,D,8,3,0,
1016,1344,20200203,2020-W06,Paid,147,W,Yes,D,P,113,17,0,
1022,13712,20200203,2020-W06,Paid,2,W,Yes,B,D,17,2,0,
1032,2552,20200202,2020-W06,Paid,1,W,Yes,D,F1,1,0,0,
1037,7444,20200203,2020-W06,Paid,1,Z,Yes,B,A1,19,6,0,
1039,8509,20200203,2020-W06,Paid,15,W,Yes,F,F2,19,15,0,
1040,16257,20200202,2020-W06,Paid,2,W,Yes,F,F2,8,1,0,
1041,12554,20200203,2020-W06,Paid,5,Z,No,B,F1,24,16,1,
1043,16732,20200201,2020-W06,Paid,1,Z,Yes,A,P,5,1,0,
1060,2777,20200201,2020-W06,Paid,5,Z,Yes,G,D,9,1,0,
1062,20608,20200203,2020-W06,Paid,22,W,No,F,F2,11,0,0,
1065,8584,20200201,2020-W06,Paid,6,Z,Yes,D,D,26,8,2,
1067,14377,20200201,2020-W06,Paid,1,W,Yes,F,O,8,7,0,3.70
1070,10402,20200203,2020-W06,Paid,15,Z,Yes,D,O,91,21,0,
1076,2963,20200201,2020-W06,Paid,2,Z,Yes,B,F3,18,13,0,
1078,23734,20200201,2020-W06,Paid,206,Z,No,F,O,10,3,1,
1081,8372,20200201,2020-W06,Paid,1,X,Yes,D,O,16,1,0,
1087,8750,20200201,2020-W06,Paid,5,Z,No,D,S,15,5,0,
1091,17774,20200201,2020-W06,Paid,9,Z,Yes,F,O,5,2,0,3.83
1092,23483,20200203,2020-W06,Paid,12,W,Yes,E,O,83,1,0,
1094,8619,20200203,2020-W06,Paid,5,Z,No,D,A1,95,0,0,
1095,24532,20200201,2020-W06,Unpaid,,X,Yes,G,E,1,0,0,
1101,13161,20200202,2020-W06,Paid,3,W,Yes,F,F2,28,7,0,
1110,11660,20200203,2020-W06,Paid,23,Z,Yes,D,F3,150,1,0,
1111,5262,20200201,2020-W06,Unpaid,,X,No,B,O,12,1,0,
1118,11299,20200202,2020-W06,Paid,2,W,Yes,F,O,7,0,0,
1123,2286,20200203,2020-W06,Paid,5,Z,Yes,B,F2,36,3,0,
